Protein	Beg	End	Reference
MIR29A	3329690	3329778	chr1
K123	3360965	3371088	chr1
IL2RA	3393600	3377295	chr1
LOC101751041	3411466	3401800	chr1
RBM17	3411550	3424257	chr1
PFKFB3	3438221	3477611	chr1
PRKCQ	3614189	3559601	chr1
LOC101751617	3778958	3776781	chr1
SFMBT2	3921179	3825072	chr1
LOC101752134	3981915	3979783	chr1
LOC101752189	3992554	3989268	chr1
LOC419112	4017658	4047874	chr1
ITIH5	4095615	4049660	chr1
ITIH2	4102694	4127916	chr1
KIN	4144436	4129601	chr1
ATP5C1	4144477	4151269	chr1
TAF3	4153820	4266328	chr1
GATA3	4297873	4315709	chr1
LOC101747898	4713469	4698626	chr1
LOC100859811	5286875	5327721	chr1
MIR1626	5558265	5558354	chr1
LOC101747941	5585406	5602998	chr1
LOC101748034	5603430	5611633	chr1
MIR1596	5678879	5678968	chr1
CELF2	5715233	5839947	chr1
USP6NL	6010810	5900537	chr1
ECHDC3	6030761	6035508	chr1
C1H10ORF47	6053263	6078085	chr1
UPF2	6136680	6083884	chr1
DHTKD1	6143857	6160889	chr1
SEC61A2	6167253	6182989	chr1
LOC426368	6195315	6183696	chr1
CDC123	6195400	6233056	chr1
LOC101749385	6256918	6246896	chr1
CAMK1D	6256976	6478045	chr1
CCDC3	6533393	6492922	chr1
LOC101749565	6533405	6549299	chr1
LOC101749611	6559249	6554731	chr1
OPTN	6560604	6578719	chr1
MCM10	6582590	6600508	chr1
PHYH	6616569	6604838	chr1
SEPHS1	6645068	6624112	chr1
BEND7	6709224	6660947	chr1
LOC101749906	6680355	6677223	chr1
PRPF18	6720817	6738096	chr1
LOC419035	6866532	6739938	chr1
MIR1460	6824961	6824865	chr1
LOC101750064	7014606	7003744	chr1
LOC101750011	7014933	7031473	chr1
FAM107B	7221538	7161597	chr1
LOC101750530	7293368	7282324	chr1
HSPA14	7305861	7316801	chr1
SUV39H2	7318283	7328042	chr1
DCLRE1C	7338880	7328312	chr1
MEIG1	7339041	7346479	chr1
C7ORF23	7358351	7361823	chr1
DMTF1	7390379	7361808	chr1
KIAA1324L	7424279	7516910	chr1
GRM3	7630033	7521997	chr1
SEMA3D	8177104	8318907	chr1
LOC101751256	8553666	8543501	chr1
LOC101751302	8647025	8638811	chr1
SEMA3A	8679625	8850314	chr1
SEMA3E	9325835	9456892	chr1
PCLO	9555782	9715686	chr1
LOC768552	9742594	9884144	chr1
LOC101750806	10040064	10028997	chr1
CACNA2D1	10044514	10399976	chr1
HGF	10471593	10531282	chr1
LOC101750882	10863899	10786973	chr1
LOC101750840	10858223	10855097	chr1
SEMA3C	10867412	10982730	chr1
CD36	11038504	11005405	chr1
GNAT3	11081896	11112059	chr1
GNAI1	11223685	11190856	chr1
LOC101750926	11224031	11234518	chr1
MAGI2	11505964	12230758	chr1
LOC768634	11536760	11540526	chr1
LOC101751054	12248166	12244395	chr1
PHTF2	12314104	12251574	chr1
LOC101751090	12313759	12309059	chr1
TMEM60	12314478	12318704	chr1
RSBN1L	12370234	12321657	chr1
PTPN12	12452754	12382248	chr1
PION	12486879	12534527	chr1
CCDC146	12605404	12534409	chr1
FGL2	12587147	12593157	chr1
FAM185A	12607130	12647008	chr1
FBXL13	12726734	12648102	chr1
LRRC17	12679724	12694912	chr1
ARMC10	12726950	12734892	chr1
NAPEPLD	12756983	12737146	chr1
PMPCB	12778136	12787065	chr1
DNAJC2	12804232	12787001	chr1
PSMC2	12804486	12811509	chr1
SLC26A5	12848571	12815215	chr1
RELN	13129081	12856335	chr1
LOC101751809	13129727	13134760	chr1
ORC5	13226609	13157747	chr1
LOC101751857	13185524	13183524	chr1
TRNAG-CCC	13212778	13212708	chr1
LOC101751901	13443619	13445675	chr1
LOC101752015	13567826	13546921	chr1
MLL5	13574971	13627745	chr1
SRPK2	13740988	13629485	chr1
LOC101752215	13788131	13782301	chr1
PUS7	13790682	13809878	chr1
RINT1	13810273	13822130	chr1
LOC769240	13823960	13821662	chr1
ATXN7L1	13938439	13828824	chr1
CDHR3	13937846	13993479	chr1
SYPL1	14009489	14003270	chr1
NAMPT	14064141	14037839	chr1
LOC101747684	14065209	14071474	chr1
LOC101747726	14108486	14106577	chr1
CCDC71L	14181038	14177223	chr1
PIK3CG	14213423	14241547	chr1
PRKAR2B	14294397	14348850	chr1
HBP1	14356759	14369092	chr1
COG5	14553213	14369255	chr1
GPR22	14514731	14520721	chr1
DUS4L	14553548	14564800	chr1
MIR2126	14567965	14567820	chr1
BCAP29	14567866	14591310	chr1
SLC26A4	14597135	14619145	chr1
CBLL1	14621539	14628003	chr1
SLC26A3	14642808	14632208	chr1
DLD	14666134	14679885	chr1
LAMB1	14722948	14681400	chr1
LAMB4	14777512	14725779	chr1
LOC101748279	14776913	14771356	chr1
ERGIC2	14777556	14800582	chr1
LRRK2	14871559	14807471	chr1
SLC2A13	14916473	15052707	chr1
C1H12orf40	15074266	15057439	chr1
ABCD2	15080341	15122184	chr1
KIF21A	15150052	15233173	chr1
LOC417691	15243559	15287154	chr1
CPNE8	15305958	15400612	chr1
ALG10	15497448	15490950	chr1
TPRKB	15497507	15500406	chr1
LOC100859509	15506757	15503900	chr1
GTSE1	15509092	15520122	chr1
TRMU	15520698	15532339	chr1
CELSR1	15697492	15538117	chr1
HIST1H2B5L	15735948	15717548	chr1
GRAMD4	15735375	15808478	chr1
LOC101749630	15815330	15810650	chr1
LOC101749924	15877263	15874839	chr1
CERK	15962957	15929588	chr1
TBC1D22A	15997492	16152673	chr1
LOC101749960	16257409	16248209	chr1
LOC101750003	16677433	16674118	chr1
FAM19A5	16881616	17284755	chr1
LOC101747879	17587240	17596503	chr1
LOC101747918	18020110	18022183	chr1
LOC101747964	18027827	18030023	chr1
LOC101748010	18096039	18085383	chr1
LOC101748054	18307991	18283059	chr1
LOC101748098	18317717	18331158	chr1
BRD1	18593158	18539752	chr1
ZBED4	18627244	18631694	chr1
ALG12	18657301	18641964	chr1
CRELD2	18657758	18668817	chr1
LOC101748137	18876553	18861602	chr1
LOC100859623	18917460	18922130	chr1
PIM3	18951769	18947299	chr1
LOC101748306	19212133	19221445	chr1
LOC101748415	19402848	19393423	chr1
LOC101748494	19559223	19553661	chr1
LOC101748454	19577900	19561320	chr1
IL17REL	19859279	19816671	chr1
MLC1	19893658	19876448	chr1
MOV10L1	19894527	19927669	chr1
PANX2	19947205	19967507	chr1
LOC429348	19993636	19990583	chr1
TRABD	20004478	20036801	chr1
LOC101749260	20071467	20069171	chr1
SELO	20071621	20084350	chr1
LOC769701	20109324	20086378	chr1
HDAC10	20125417	20109548	chr1
LOC417741	20130589	20126938	chr1
LOC101749433	20134010	20137827	chr1
MAPK12	20177737	20146467	chr1
MAPK11	20216867	20186453	chr1
LOC101749546	20217013	20222591	chr1
PLXNB2	20520621	20269628	chr1
MIR1693	20342230	20342133	chr1
LOC101749668	20520996	20558655	chr1
ZNF800	20644895	20659016	chr1
GRM8	20694679	21019031	chr1
POT1	21514148	21575724	chr1
GPR37	21614383	21626085	chr1
LOC101750106	21750815	21758820	chr1
LOC769134	21860600	21832840	chr1
SPAM1	21884738	21867336	chr1
HYALP1	21956381	21915569	chr1
LOC101750552	21978868	21975053	chr1
WASL	21979973	22029975	chr1
LMOD2	22054661	22048509	chr1
ASB15	22074770	22063325	chr1
NDUFA5	22078507	22083557	chr1
IQUB	22085542	22106083	chr1
ATP6AP1	22114136	22168143	chr1
SLC13A1	22194837	22219003	chr1
LOC101750990	22298987	22293894	chr1
CADPS2	22299097	22601025	chr1
FEZF1	22608109	22610729	chr1
AASS	22639822	22668902	chr1
PTPRZ1	22805802	22672268	chr1
FAM3C	22980042	23008602	chr1
WNT16	23025512	23015667	chr1
CPED1	23183290	23041822	chr1
MIR1645	23147310	23147247	chr1
ING3	23211197	23197214	chr1
LOC101751353	23237801	23218559	chr1
TSPAN12	23238309	23283097	chr1
KCND2	23554872	23291121	chr1
LOC100859665	23561266	23594123	chr1
ANKRD26	24064661	24112807	chr1
NAA38	24124758	24119044	chr1
LOC101751555	24193623	24195724	chr1
CTTNBP2	24245071	24320202	chr1
CFTR	24408726	24324800	chr1
LOC101751592	24428352	24465060	chr1
LOC100858667	24469230	24484160	chr1
LOC100859473	24524517	24490707	chr1
ASZ1	24544037	24579007	chr1
WNT2	24584871	24599799	chr1
ST7	24660895	24602262	chr1
LOC101747342	24730113	24732319	chr1
CAPZA2	24772038	24742311	chr1
MET	24882798	24797125	chr1
CAV1	25013429	24999077	chr1
CAV2	25028572	25020718	chr1
LOC101752315	25040890	25053234	chr1
TES	25139826	25114970	chr1
TFEC	25227678	25289679	chr1
MDFIC	25750947	25702265	chr1
FOXP2	26257323	25843940	chr1
LOC101747369	26276445	26277312	chr1
PPP1R3A	26299391	26326320	chr1
LOC101747483	26577338	26578289	chr1
GPR85	26614548	26620141	chr1
MIR1695	26663517	26663595	chr1
C1H7ORF60	26706357	26740246	chr1
TMEM168	26742112	26769224	chr1
LOC101747665	26801280	26791705	chr1
C7ORF53	26853308	26846141	chr1
IFRD1	26865544	26854960	chr1
ZNF277	26960029	26906306	chr1
DOCK4	26960280	27206739	chr1
IMMP2L	27225098	27674088	chr1
LRRN3	27450188	27413005	chr1
LOC101748369	28328712	28326287	chr1
DNAJB9	28392479	28383984	chr1
THAP5	28392695	28399118	chr1
AVPR2	28454389	28452194	chr1
PNPLA8	28473543	28506722	chr1
NRCAM	28602240	28664742	chr1
CNTN1	28856748	28942061	chr1
LOC101751907	28986671	29045126	chr1
PDZRN4	29129635	29234339	chr1
LOC101748472	29285196	29276908	chr1
GXYLT1	29441660	29410642	chr1
YAF2	29481796	29454827	chr1
ZCRB1	29523942	29512105	chr1
PPHLN1	29523988	29592294	chr1
PRICKLE1	29654910	29594710	chr1
LOC101748603	29797489	29782730	chr1
LOC101748563	29836220	29822518	chr1
ADAMTS20	29951385	29866389	chr1
PUS7L	30012929	30001520	chr1
IRAK4	30012704	30024156	chr1
TWF1	30043853	30025394	chr1
LOC101748768	30056396	30046403	chr1
TMEM117	30056637	30252584	chr1
LOC101752017	30267887	30262747	chr1
NELL2	30405512	30284947	chr1
LOC417800	30472447	30476317	chr1
DBX2	30502888	30482682	chr1
ANO6	30542116	30611361	chr1
LOC101749043	30614133	30611917	chr1
LOC101749074	30614751	30616524	chr1
LOC101749108	30632377	30626562	chr1
LOC101749362	30693988	30663359	chr1
ARID2	30694821	30800155	chr1
SCAF11	30837662	30806660	chr1
SLC38A1	30903892	30879382	chr1
LOC101749506	30913391	30926756	chr1
SLC38A2	30943097	30927996	chr1
LOC101749547	30954214	30968780	chr1
SLC38A4	31064734	31044183	chr1
LOC101749639	31074626	31080390	chr1
LOC101749586	31085453	31091297	chr1
LOC101749721	31155798	31160759	chr1
LOC101749686	31156413	31158979	chr1
AMIGO2	31200927	31191404	chr1
RPAP3	31384323	31369390	chr1
XRCC6BP1	31384487	31391667	chr1
LRIG3	31723319	31679550	chr1
LOC101749802	31723358	31739794	chr1
LOC101749839	31967686	31922373	chr1
LOC101749889	31997214	31991615	chr1
SLC16A7	32050440	32079291	chr1
LOC101749928	32101042	32115652	chr1
LOC101750107	32449655	32436351	chr1
LOC101750146	32564719	32568950	chr1
FAM19A2	32842968	32663444	chr1
LOC101750730	32853200	32849436	chr1
USP15	32863895	32927668	chr1
LOC101750768	32941830	32941468	chr1
MON2	32942077	33012686	chr1
MIRLET7I	33019229	33019312	chr1
PPM1H	33176225	33044594	chr1
LOC101750991	33176640	33206859	chr1
AVPR1A	33261450	33258736	chr1
LOC101751042	33353224	33351594	chr1
TMEM5	33355625	33367245	chr1
SRGAP1	33469226	33540885	chr1
C1H12ORF66	33562945	33554457	chr1
RPL18A	33566163	33563756	chr1
XPOT	33569815	33592500	chr1
TBK1	33602180	33625163	chr1
LOC101751207	33655975	33657613	chr1
RASSF3	33676054	33726397	chr1
GNS	33753110	33732561	chr1
TBC1D30	33753631	33802429	chr1
LOC101751303	33829737	33836211	chr1
WIF1	33883656	33841753	chr1
LEMD3	33898092	33945742	chr1
MSRB3	33949839	34029987	chr1
HMGA2	34166921	34268981	chr1
LOC101751328	34317515	34315570	chr1
LLPH	34329708	34327085	chr1
TMBIM4	34337909	34330607	chr1
HELB	34375874	34391647	chr1
GRIP1	34601543	34390107	chr1
CAND1	34744563	34772047	chr1
DYRK2	34859794	34869903	chr1
IFNG	35017855	35013708	chr1
IL26	35046575	35041161	chr1
IL22	35064598	35062146	chr1
MDM1	35097910	35073764	chr1
RAP1B	35173230	35206546	chr1
NUP107	35208256	35233603	chr1
SLC35E3	35234300	35239841	chr1
LOC101752108	35255167	35248396	chr1
MDM2	35255810	35267006	chr1
CPM	35304744	35273186	chr1
CPSF6	35343616	35368673	chr1
LYZ	35383316	35387003	chr1
YEATS4	35387341	35390048	chr1
LOC101752223	35406586	35394507	chr1
FRS2	35406977	35452629	chr1
LOC101752190	35457012	35455836	chr1
CCT2	35461477	35473438	chr1
LRRC10	35476376	35474619	chr1
LOC417848	35479613	35488063	chr1
BEST3	35508362	35491873	chr1
RAB3IP	35522527	35551858	chr1
MYRFL	35554524	35597227	chr1
LOC100858495	35634896	35630125	chr1
CNOT2	35732584	35772023	chr1
KCNMB4	35778484	35789452	chr1
PTPRB	35864981	35799251	chr1
PTPRR	36009390	35865661	chr1
TSPAN8	36107430	36090308	chr1
LOC101747919	36192391	36186266	chr1
LGR5	36192487	36279443	chr1
ZFC3H1	36332626	36294886	chr1
TMEM19	36352945	36366125	chr1
RAB21	36392035	36411276	chr1
TBC1D15	36415493	36442556	chr1
TPH2	36453708	36507999	chr1
TRHDE	36578600	36798108	chr1
LOC101748307	37181340	37162370	chr1
LOC101748346	37329270	37323362	chr1
KCNC2	37651977	37554139	chr1
CAPS2	37696991	37660727	chr1
CCDC107	37704756	37697089	chr1
GLIPR1	37715737	37725088	chr1
GLIPR1L	37725076	37732707	chr1
KRR1	37742158	37736693	chr1
NAP1L1	37898832	37870436	chr1
BBS10	37959341	37957776	chr1
OSBPL8	38014616	37960122	chr1
LOC101748984	38042591	38035499	chr1
ZDHHC17	38093513	38159489	chr1
CSRP2	38170767	38162994	chr1
E2F7	38234268	38217096	chr1
LOC101749281	38234817	38240998	chr1
LOC101749310	38251674	38248669	chr1
NAV3	38593741	38853234	chr1
LOC101749434	38986324	38966662	chr1
LOC101749386	39002311	38998980	chr1
LOC101747387	39087406	39034265	chr1
SYT1	39159693	39381655	chr1
PAWR	39477999	39405562	chr1
PPP1R12A	39614787	39491093	chr1
LOC101749742	39640383	39637946	chr1
LOC101749704	39679682	39671362	chr1
RPS16	39679785	39682723	chr1
OTOGL	39690142	39782416	chr1
PTPRQ	39788270	39910869	chr1
LOC101750171	39926340	39918082	chr1
MYF6	39927239	39928719	chr1
MYF5	39931917	39933131	chr1
LIN7A	40003983	39955229	chr1
ACSS3	40046354	40123630	chr1
PPFIA2	40427504	40126636	chr1
CCDC59	40618968	40613067	chr1
C1H12ORF26	40619498	40675316	chr1
LOC101750647	40690151	40680276	chr1
TMTC2	40738811	40981242	chr1
SLC6A15	41557844	41522733	chr1
TSPAN19	41632727	41621483	chr1
LRRIQ1	41632727	41719754	chr1
LOC101747686	41743419	41744883	chr1
ALX1	41746812	41769814	chr1
RASSF9	42038389	42009508	chr1
NTS	42056011	42068572	chr1
MGAT4C	42128960	42099366	chr1
C12ORF50	42677597	42662233	chr1
C12ORF29	42678421	42690493	chr1
CEP290	42736270	42685263	chr1
TMTC3	42736316	42772130	chr1
KITLG	42915866	42864376	chr1
DUSP6	43175978	43171636	chr1
LOC101751742	43177220	43199390	chr1
WDR51B	43253875	43210243	chr1
ATP2B1	43305815	43275195	chr1
LOC100858183	43522382	43518050	chr1
LOC101749909	43522471	43526940	chr1
EPYC	43821219	43798645	chr1
KERA	43851618	43843143	chr1
LUM	43873083	43860883	chr1
DCN	43932411	43893780	chr1
LOC101750147	44028748	44023502	chr1
LOC101750198	44045707	44039355	chr1
LOC101750244	44116981	44144423	chr1
BTG1	44273899	44271369	chr1
LOC101750282	44274203	44277390	chr1
LOC101750488	44456596	44465176	chr1
PLEKHG7	44466877	44495051	chr1
EEA1	44562854	44491503	chr1
LOC101750717	44621562	44579757	chr1
LOC101750670	44600980	44594779	chr1
NUDT4	44690838	44713545	chr1
UBE2N	44733745	44714691	chr1
MRPL42	44743647	44750854	chr1
SOCS2	44764280	44765955	chr1
CRADD	44775335	44851155	chr1
TRNAM-CAU	44928529	44928600	chr1
PLXNC1	44933756	45004881	chr1
CCDC41	45029064	45004373	chr1
TMCC3	45158371	45035452	chr1
SNAPC3	45113080	45114953	chr1
NDUFA12	45187320	45179842	chr1
NR2C1	45239812	45195370	chr1
FGD6	45301569	45242470	chr1
VEZT	45310481	45357545	chr1
LOC101751743	45404008	45391529	chr1
METAP2	45406753	45421539	chr1
USP44	45438182	45424156	chr1
LOC101752018	45441566	45448312	chr1
NTN4	45505600	45469409	chr1
SNRPF	45536654	45537977	chr1
AMDHD1	45540907	45548747	chr1
HAL	45563191	45550568	chr1
LTA4H	45580903	45566260	chr1
TRNAD-GUC	45581164	45581235	chr1
LOC769175	45621457	45616281	chr1
ELK3	45621733	45655887	chr1
CDK17	45739052	45658979	chr1
LOC101747627	45771425	45756565	chr1
LOC417921	45771511	45877539	chr1
NEDD1	45882937	45906537	chr1
LOC101747666	46047127	46050380	chr1
LOC101747706	46075863	46129076	chr1
MIR1691	46087390	46087480	chr1
LOC101747753	46131273	46150608	chr1
MIR135A-2	46153508	46153607	chr1
LOC101747799	46336143	46337751	chr1
TRNAD-GUC	46479257	46479328	chr1
TRNAD-GUC	46479577	46479506	chr1
TRNAW-CCA	46479960	46480031	chr1
TMPO	46488737	46510913	chr1
SLC25A3	46514910	46522803	chr1
IKBIP	46536825	46527797	chr1
APAF1	46536962	46564629	chr1
ANKS1B	46987655	46575323	chr1
LOC769249	46712407	46701776	chr1
UHRF1BP1L	47057989	47003982	chr1
ACTR6	47062434	47071270	chr1
SCYL2	47072484	47103441	chr1
SLC17A8	47112783	47140312	chr1
NR1H4	47162653	47195443	chr1
GAS2L3	47197569	47211930	chr1
ANO4	47294437	47464443	chr1
SLC5A8	47493729	47467844	chr1
UTP20	47505421	47565244	chr1
ARL1	47570785	47565322	chr1
NUP205	47617740	47572187	chr1
CNOT4	47632992	47703136	chr1
LOC101748138	47716170	47702081	chr1
LOC101748069	47711926	47710163	chr1
LOC417937	47718333	47743428	chr1
STRA8	47762062	47746773	chr1
WDR91	47762314	47777317	chr1
LOC100857684	47778305	47779561	chr1
TMEM140	47784676	47780019	chr1
AGBL3	47812855	47787281	chr1
PDE6H	47833427	47827604	chr1
ARHGDIB	47844450	47852755	chr1
ERP27	47853092	47872301	chr1
MGP	47886140	47891373	chr1
OC3	47894973	47900895	chr1
ART4	47903204	47907797	chr1
C1H12ORF69	47907564	47911722	chr1
WBP11	47913606	47923173	chr1
HIST1H2A3	47924621	47925018	chr1
LOC427882	47926927	47927681	chr1
HIST1H2B7	47929106	47928726	chr1
HIST1H46L1	47932398	47932938	chr1
LOC769809	47934160	47933681	chr1
LOC769852	47934963	47946622	chr1
HIST1H46L2	47936505	47936110	chr1
LOC101749238	47944228	47943785	chr1
HIST1H2B8	47944568	47944948	chr1
LOC101752019	47952455	47953211	chr1
HIST1H46	47954189	47953878	chr1
HIST1H2A9	47959009	47958620	chr1
HIST1H2B7L1	47959281	47960046	chr1
HIST1H110	47961712	47960802	chr1
HIST1H46L3	47973321	47973706	chr1
LOC770022	47974914	47976269	chr1
LOC768333	47978948	47976380	chr1
HIST1H46L4	47981002	47979746	chr1
HIST1H103	47987498	47986797	chr1
HIST1H46L5	47993221	47993645	chr1
HIST1H2A4	47994976	47994587	chr1
LOC417953	47996233	47995700	chr1
HIST1H2A4L1	47996782	47997902	chr1
HIST1H46L6	47999136	47998800	chr1
HIST1H101	48008793	48009452	chr1
HIST1H2A4L2	48017128	48010349	chr1
LOC101750582	48011172	48010349	chr1
HIST1H2B7L2	48010785	48011797	chr1
HIST1H2B7L3	48017252	48017921	chr1
HIST1H111L	48025516	48026285	chr1
HIST1H2A4L3	48027304	48026720	chr1
HIST1H2B5	48027618	48027998	chr1
LOC100858681	48029406	48029933	chr1
LOC100857439	48030675	48029419	chr1
HIST1H2B7L4	48032362	48031850	chr1
HIST1H2A4L4	48032683	48033193	chr1
HIST1H111R	48034297	48033555	chr1
APOLD1	48046870	48051927	chr1
DDX47	48057522	48066407	chr1
GPRC5A	48080964	48087227	chr1
HEBP1	48107192	48100661	chr1
LOC417962	48114104	48110323	chr1
KIAA1467	48122103	48143919	chr1
GSG1	48156683	48142080	chr1
EMP1	48184764	48198968	chr1
GRIN2B	48527535	48323736	chr1
LOC101751095	48543269	48543821	chr1
LOC101752136	48606089	48602307	chr1
LOC101751130	48629484	48612688	chr1
LOC101751164	48634020	48642615	chr1
LOC101751427	48694059	48687714	chr1
ATF7IP	48696274	48756711	chr1
PLBD1	48798764	48761662	chr1
GUCY2C	48846950	48801280	chr1
TTC26	48858636	48904706	chr1
LOC101751618	48912191	48904916	chr1
UBN2	48916712	48964633	chr1
TRNAR-CCU	48973719	48973791	chr1
LUC7L2	48977566	49008824	chr1
GBE	49017472	49012599	chr1
LOC770082	49029782	49024630	chr1
LOC417973	49031448	49037630	chr1
POLDIP3	49039850	49053742	chr1
RRP7A	49057145	49060762	chr1
SERHL2	49069774	49061559	chr1
SOCS1B	49084461	49095043	chr1
NFAM1	49104473	49130344	chr1
TCF20	49132771	49248125	chr1
MIR1581	49133041	49133126	chr1
CYP2D6	49264763	49273942	chr1
NDUFA6	49274727	49276297	chr1
C22ORF32	49279088	49277073	chr1
FAM109B	49284402	49279857	chr1
NAGA	49284426	49288732	chr1
LOC770780	49297105	49289040	chr1
SEPT3	49311550	49299030	chr1
LOC100859314	49314881	49312851	chr1
CENPM	49318356	49323041	chr1
TNFRSF13C	49333004	49334611	chr1
SHISA8	49343739	49350257	chr1
SREBF2	49367830	49351378	chr1
MIR33	49353627	49353559	chr1
CCDC134	49373341	49369009	chr1
MEI1	49410767	49374134	chr1
NHP2L1	49410944	49413251	chr1
XRCC6	49428574	49415699	chr1
DESI1	49428901	49442258	chr1
PMM1	49444269	49449301	chr1
CSDC2	49458073	49449948	chr1
POLR3H	49458244	49464595	chr1
ACO2	49486044	49465617	chr1
PHF5A	49486306	49492336	chr1
TOB2	49497083	49503887	chr1
LOC101748546	49509087	49516148	chr1
TEF	49536178	49521438	chr1
ZC3H7B	49588823	49543412	chr1
RANGAP1	49591687	49610828	chr1
CHADL	49611938	49615544	chr1
L3MBTL2	49630975	49616379	chr1
EP300	49693964	49636384	chr1
RBX1	49729337	49718304	chr1
LOC101749129	49730398	49747627	chr1
MIR1683	49748162	49748062	chr1
XPNPEP3	49763770	49748496	chr1
ST13	49763852	49783645	chr1
SLC25A17	49786119	49803049	chr1
LOC101749282	49809138	49805824	chr1
MKL1	49821629	49917363	chr1
SGSM3	49946763	49920215	chr1
ADSL	49964180	49948588	chr1
TNRC6B	50105077	49975177	chr1
LOC101749840	50108104	50104947	chr1
FAM83F	50136774	50117402	chr1
GRAP2	50196770	50156944	chr1
LOC101750629	50233541	50239466	chr1
CACNA1I	50421655	50268911	chr1
RPS19BP1	50448547	50450697	chr1
ATF4	50459626	50456691	chr1
SMCR7L	50478397	50468309	chr1
MGAT3	50502993	50485995	chr1
TAB1	50525791	50517360	chr1
SYNGR1	50544913	50534583	chr1
RPL3	50548764	50554570	chr1
MIR3538-1	50552408	50552482	chr1
PDGFB	50582855	50594446	chr1
LOC101750947	50609463	50607297	chr1
CBX7	50609574	50625671	chr1
NPTXR	50625818	50648733	chr1
DNAL4	50651898	50656139	chr1
LOC418020	50659945	50664469	chr1
SUN2	50665582	50673033	chr1
GTPBP1	50690868	50674003	chr1
JOSD1	50691360	50701751	chr1
CBY1	50706357	50703945	chr1
DMC1	50719162	50734286	chr1
DDX17	50734159	50753988	chr1
KDELR3	50759101	50753990	chr1
KCNJ4	50761652	50774038	chr1
LOC101747255	50766927	50767832	chr1
CSNK1E	50784795	50805171	chr1
TMEM184B	50807039	50832468	chr1
MAFF	50835917	50832960	chr1
PLA2G6	50836439	50854357	chr1
BAIAP2L2	50860713	50864675	chr1
SLC16A8	50865712	50873377	chr1
PICK1	50887236	50875867	chr1
LOC101751556	50887327	50888028	chr1
SOX10	50911911	50921074	chr1
POLR2F	50927570	50924001	chr1
C1H22ORF23	50927632	50929123	chr1
MICALL1	50950143	50931985	chr1
EIF3L	50963376	50953762	chr1
ANKRD54	50963658	50969155	chr1
LOC100858286	50972019	50974618	chr1
GALR3	50980997	50979163	chr1
LOC693258	50983576	50984295	chr1
GCAT	50990303	50986046	chr1
LOC100858355	50992654	50991782	chr1
NOL12	50999239	50995134	chr1
LOC418038	50999840	51003287	chr1
LOC100858460	51003531	51006028	chr1
LOC771154	51006136	51009405	chr1
LGALS1	51014093	51010961	chr1
LOC771207	51029599	51026210	chr1
